Country,Employed
Guatemala,0.7121212121212122
Ethiopia,0.7115384615384616
Sri Lanka,0.708171206225681
Tunisia,0.7051282051282052
Dominican Republic,0.7017543859649122
Peru,0.7013888888888888
Paraguay,0.6833333333333333
Ecuador,0.6633663366336634
Albania,0.6610169491525424
Jordan,0.660377358490566
Morocco,0.6545454545454545
Nigeria,0.6496598639455783
Costa Rica,0.6436781609195402
Lebanon,0.6415094339622641
Hong Kong (S.A.R.),0.6333333333333333
Thailand,0.632258064516129
Ghana,0.631578947368421
Malaysia,0.6261261261261262
Turkey,0.6225087924970691
Philippines,0.6213235294117647
South Africa,0.6156405990016639
Saudi Arabia,0.6142857142857143
Italy,0.6074829931972789
"Iran, Islamic Republic of...",0.6048387096774194
Indonesia,0.5946666666666667
Nepal,0.5925925925925926
United Arab Emirates,0.5874125874125874
Mexico,0.5858310626702997
New Zealand,0.5795454545454546
"Venezuela, Bolivarian Republic of...",0.576271186440678
Taiwan,0.575107296137339
Slovenia,0.5743243243243243
Pakistan,0.5716666666666667
Luxembourg,0.5714285714285714
Viet Nam,0.5714285714285714
Belgium,0.5710227272727273
Bangladesh,0.5612745098039216
Switzerland,0.5563991323210412
Australia,0.5526483726866624
United States of America,0.5508982035928144
Brazil,0.5483993902439024
Austria,0.5473145780051151
Bosnia and Herzegovina,0.5454545454545454
Croatia,0.5450819672131147
Hungary,0.5415778251599147
Romania,0.5393835616438356
Argentina,0.5388272583201268
Denmark,0.5372492836676218
Netherlands,0.5366269165247018
Chile,0.5357142857142857
Colombia,0.5327313769751693
Armenia,0.5308641975308642
Canada,0.5300467794170565
Kenya,0.5291005291005291
Portugal,0.5289115646258503
The former Yugoslav Republic of Macedonia,0.5272727272727272
Greece,0.5261194029850746
Egypt,0.524822695035461
United Kingdom of Great Britain and Northern Ireland,0.5234641638225256
Germany,0.5221501390176089
South Korea,0.5208333333333334
Spain,0.5175233644859814
France,0.5147169811320754
Uruguay,0.5123456790123457
Bulgaria,0.511166253101737
Sweden,0.5109809663250366
Serbia,0.5104895104895105
India,0.5065298507462687
Norway,0.5023771790808241
Finland,0.5
Lithuania,0.49377593360995853
Poland,0.4906347554630593
Czech Republic,0.4851351351351351
Ireland,0.48467966573816157
Israel,0.47797927461139894
Singapore,0.47555555555555556
Latvia,0.47058823529411764
China,0.4531645569620253
Japan,0.452970297029703
Slovakia,0.44594594594594594
Cyprus,0.4423076923076923
Estonia,0.436046511627907
Russian Federation,0.4295403165033911
Ukraine,0.42835595776772245
Belarus,0.4140127388535032
Kazakhstan,0.40625
Georgia,0.391304347826087
